Cluster,ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
M0,GO:0006596,polyamine biosynthetic process,3/85,13/18805,0.23076923076923078,51.05429864253394,12.164890852024115,2.467028717043269e-5,0.01804338986777897,0.016790950143928562,262/4947/6723,3
M0,GO:0042401,biogenic amine biosynthetic process,4/85,39/18805,0.10256410256410256,22.69079939668175,9.137000892001831,2.833915287965001e-5,0.01804338986777897,0.016790950143928562,217/262/4947/6723,4
M0,GO:0009309,amine biosynthetic process,4/85,40/18805,0.1,22.123529411764707,9.011640475050266,3.137980846570256e-5,0.01804338986777897,0.016790950143928562,217/262/4947/6723,4
M0,GO:0006595,polyamine metabolic process,3/85,18/18805,0.16666666666666666,36.87254901960784,10.260096240360708,6.924670734198194e-5,0.029862642541229712,0.027789797025400652,262/4947/6723,3
M1,GO:0030199,collagen fibril organization,6/87,69/18805,0.08695652173913043,18.79560219890055,10.096104139929732,7.81479529824258e-7,0.0014902814633748602,0.0013424995712349361,302/1277/1278/1281/60681/4060,6
M1,GO:0042060,wound healing,11/87,450/18805,0.024444444444444446,5.283652618135377,6.2704445707144645,7.113582848905081e-6,0.006782801246430995,0.006110193268112155,301/302/308/977/1281/1465/60681/3998/389/710/7076,11
M1,GO:0001503,ossification,10/87,458/18805,0.021834061135371178,4.719419766099483,5.493895941877223,4.9867901638130086e-5,0.03169936280797136,0.028555935253834496,1052/1277/1278/2719/3399/3481/3486/4256/5764/51119,10
M2,GO:0000377,"RNA splicing, via transesterification reactions with bulged adenosine as nucleophile",18/92,336/18805,0.05357142857142857,10.950116459627328,12.903972774724826,3.8789661238398375e-14,2.0822665200196755e-11,1.9216302419792245e-11,708/9879/4670/3312/23658/4691/84844/6421/79622/6627/6628/6632/6636/6637/6427/6428/6432/6434,18
M2,GO:0000398,"mRNA splicing, via spliceosome",18/92,336/18805,0.05357142857142857,10.950116459627328,12.903972774724826,3.8789661238398375e-14,2.0822665200196755e-11,1.9216302419792245e-11,708/9879/4670/3312/23658/4691/84844/6421/79622/6627/6628/6632/6636/6637/6427/6428/6432/6434,18
M2,GO:0000375,"RNA splicing, via transesterification reactions",18/92,340/18805,0.052941176470588235,10.821291560102301,12.813882361004472,4.754033150729853e-14,2.0822665200196755e-11,1.9216302419792245e-11,708/9879/4670/3312/23658/4691/84844/6421/79622/6627/6628/6632/6636/6637/6427/6428/6432/6434,18
M2,GO:0008380,RNA splicing,19/92,482/18805,0.03941908713692946,8.05734710445607,11.005607810951439,1.6716467399054047e-12,5.491359540589254e-10,5.067729064134279e-10,708/9879/2521/4670/3312/23658/4691/84844/6421/79622/6627/6628/6632/6636/6637/6427/6428/6432/6434,19
M2,GO:1903241,U2-type prespliceosome assembly,7/92,25/18805,0.28,57.23260869565218,19.72685116397317,2.379147468213694e-11,6.2523995464655874e-9,5.770058701857211e-9,9879/84844/6627/6628/6632/6636/6637,7
M2,GO:0000966,RNA 5'-end processing,6/92,38/18805,0.15789473684210525,32.27402745995423,13.530863429042768,2.8288871536142207e-8,6.195262866415143e-6,5.717329826251898e-6,10248/6628/6632/6636/6637/6741,6
M2,GO:0006457,protein folding,10/92,227/18805,0.04405286343612335,9.00450105343804,8.50736451806433,1.637300921273069e-7,3.073447729361161e-5,2.836346859107632e-5,22948/908/8872/2280/2896/3312/3336/8195/10726/5034,10
M2,GO:0000245,spliceosomal complex assembly,7/92,96/18805,0.07291666666666667,14.904325181159422,9.576516719966763,4.4531358041808977e-7,7.314275558367124e-5,6.750016376863675e-5,9879/84844/6627/6628/6632/6636/6637,7
M2,GO:0022613,ribonucleoprotein complex biogenesis,13/92,494/18805,0.02631578947368421,5.379004576659039,6.915604820789761,8.163603791224242e-7,1.1918861535187393e-4,1.0999381950281081e-4,708/9879/1964/55651/10528/84844/10248/6627/6628/6632/6636/6637/7520,13
M2,GO:0036260,RNA capping,4/92,16/18805,0.25,51.10054347826087,14.057170785611484,9.333389422068665e-7,1.2264073700598226e-4,1.1317962751813791e-4,6628/6632/6636/6637,4
M2,GO:0006458,'de novo' protein folding,5/92,49/18805,0.10204081632653061,20.857364685004438,9.758810075597406,4.040219194204647e-6,4.82622547380446e-4,4.4539067097834964e-4,22948/908/2280/3312/3336,5
M2,GO:0022618,protein-RNA complex assembly,8/92,228/18805,0.03508771929824561,7.172006102212051,6.574357340075613,1.6024952030860004e-5,0.0017547322473791705,0.0016193635736448005,9879/84844/6627/6628/6632/6636/6637/7520,8
M2,GO:0048024,"regulation of mRNA splicing, via spliceosome",6/92,111/18805,0.05405405405405406,11.048766157461811,7.445098301249493,1.7429639777969127e-5,0.001761734359096264,0.0016258255080340432,708/4691/6427/6428/6432/6434,6
M2,GO:0009451,RNA modification,7/92,171/18805,0.04093567251461988,8.367340452580725,6.785831560446246,2.080304695281135e-5,0.001855006754657313,0.0017119024123730068,3182/55651/6628/6632/6636/6637/6741,7
M2,GO:0071826,protein-RNA complex organization,8/92,237/18805,0.03375527426160337,6.8996514401027325,6.4086313370046994,2.1175876194718186e-5,0.001855006754657313,0.0017119024123730068,9879/84844/6627/6628/6632/6636/6637/7520,8
M2,GO:0043484,regulation of RNA splicing,7/92,187/18805,0.0374331550802139,7.651418274819809,6.409377858614619,3.692098274111719e-5,0.003032135707614249,0.002798221849853092,708/2521/4691/6427/6428/6432/6434,7
M2,GO:0050684,regulation of mRNA processing,6/92,133/18805,0.045112781954887216,9.221150702844067,6.671297939711558,4.8429286314627816e-5,0.0037432989539659383,0.0034545224665294885,708/4691/6427/6428/6432/6434,6
M2,GO:0051084,'de novo' post-translational protein folding,4/92,44/18805,0.09090909090909091,18.58201581027668,8.186802978614054,6.269388278720917e-5,0.004576653443466269,0.004223587893033038,22948/908/3312/3336,4
M2,GO:0006403,RNA localization,7/92,206/18805,0.03398058252427184,6.945704938792739,6.016438645936306,6.815095389658061e-5,0.0047131764957951015,0.004349578885809466,22948/908/3182/55651/6428/6432/6741,7
M2,GO:0090670,RNA localization to Cajal body,3/92,19/18805,0.15789473684210525,32.27402745995423,9.562925683933566,1.0374526925122429e-4,0.0059270123389612486,0.005469773463497043,22948/908/55651,3
M2,GO:0090671,telomerase RNA localization to Cajal body,3/92,19/18805,0.15789473684210525,32.27402745995423,9.562925683933566,1.0374526925122429e-4,0.0059270123389612486,0.005469773463497043,22948/908/55651,3
M2,GO:0090672,telomerase RNA localization,3/92,19/18805,0.15789473684210525,32.27402745995423,9.562925683933566,1.0374526925122429e-4,0.0059270123389612486,0.005469773463497043,22948/908/55651,3
M2,GO:0090685,RNA localization to nucleus,3/92,19/18805,0.15789473684210525,32.27402745995423,9.562925683933566,1.0374526925122429e-4,0.0059270123389612486,0.005469773463497043,22948/908/55651,3
M2,GO:0000387,spliceosomal snRNP assembly,4/92,53/18805,0.07547169811320754,15.426579163248563,7.3743683522322225,1.307680863854856e-4,0.007159552729605336,0.00660722962789822,6628/6632/6636/6637,4
M2,GO:1990830,cellular response to leukemia inhibitory factor,5/92,105/18805,0.047619047619047616,9.73343685300207,6.292255612940929,1.6495892509185177e-4,0.00867024110282773,0.008001376071823715,9521/4691/6428/6432/7520,5
M2,GO:1990823,response to leukemia inhibitory factor,5/92,107/18805,0.04672897196261682,9.551503453880537,6.219910173033147,1.8022360723602264e-4,0.00910822384262053,0.008405570669469557,9521/4691/6428/6432/7520,5
M2,GO:0009147,pyrimidine nucleoside triphosphate metabolic process,3/92,24/18805,0.125,25.550271739130434,8.438201544644043,2.1289217179799692e-4,0.01036075236083585,0.009561472978997756,79077/1854/4830,3
M2,GO:0007004,telomere maintenance via telomerase,4/92,62/18805,0.06451612903225806,13.187237026647967,6.739518596294276,2.408987334946984e-4,0.011305033421858348,0.010432907555860621,22948/908/55651/7520,4
M2,GO:0006278,RNA-templated DNA biosynthetic process,4/92,69/18805,0.057971014492753624,11.849401386263391,6.330517437075038,3.637167389384179e-4,0.016480130860864868,0.015208772532016605,22948/908/55651/7520,4
M2,GO:0000725,recombinational repair,6/92,194/18805,0.030927835051546393,6.321716718960107,5.224143397512907,3.8122160443587435e-4,0.016697506274291295,0.015409378537197446,708/2521/6119/6421/7334/7520,6
M2,GO:0034508,centromere complex assembly,3/92,30/18805,0.1,20.440217391304348,7.47169435360108,4.180719315243116e-4,0.017167078688217045,0.01584272582618444,201161/201254/4678,3
M2,GO:0070198,"protein localization to chromosome, telomeric region",3/92,30/18805,0.1,20.440217391304348,7.47169435360108,4.180719315243116e-4,0.017167078688217045,0.01584272582618444,22948/908/7520,3
M2,GO:0010833,telomere maintenance via telomere lengthening,4/92,75/18805,0.05333333333333334,10.90144927536232,6.024317273075069,5.000772585907191e-4,0.019743763022969738,0.01822063206157265,22948/908/55651/7520,4
M2,GO:0000380,"alternative mRNA splicing, via spliceosome",4/92,76/18805,0.05263157894736842,10.758009153318078,5.976653094343468,5.258993194854953e-4,0.019743763022969738,0.01822063206157265,4670/6421/6427/6434,4
M2,GO:0061077,chaperone-mediated protein folding,4/92,76/18805,0.05263157894736842,10.758009153318078,5.976653094343468,5.258993194854953e-4,0.019743763022969738,0.01822063206157265,22948/908/3312/3336,4
