Cluster,ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
M0,GO:0002064,epithelial cell development,9/123,221/18805,0.04072398190045249,6.2261339807968215,6.341223654048757,1.50008784948784e-5,0.03085716375247191,0.027726397659563768,56913/9076/7852/2487/3572/5155/23236/639/1903,9
M0,GO:0061337,cardiac conduction,6/123,97/18805,0.061855670103092786,9.456877042997233,6.77560681120614,4.211798957434086e-5,0.03085716375247191,0.027726397659563768,10060/59272/817/845/2702/3760,6
M0,GO:0060048,cardiac muscle contraction,7/123,147/18805,0.047619047619047616,7.280294231513744,6.202576180325611,5.1528286372809166e-5,0.03085716375247191,0.027726397659563768,10060/59272/817/845/7852/2702/3760,7
M0,GO:0070673,response to interleukin-18,3/123,12/18805,0.25,38.22154471544715,10.465330590994661,5.7542496508106126e-5,0.03085716375247191,0.027726397659563768,9076/8809/5155,3
M2,GO:0031589,cell-substrate adhesion,13/102,361/18805,0.036011080332409975,6.639101624029113,7.989241248504034,7.776751863033797e-8,7.319290583281098e-5,6.124201855303036e-5,151887/947/1012/1277/1281/10085/3346/182/22998/22795/255743/5581/7010,13
M2,GO:0045765,regulation of angiogenesis,13/102,363/18805,0.03581267217630854,6.602522551720413,7.959806077101061,8.291994772425748e-8,7.319290583281098e-5,6.124201855303036e-5,8038/358/947/1003/10800/641700/2321/3087/3346/23166/7010/7042/7424,13
M2,GO:1901342,regulation of vasculature development,13/102,372/18805,0.03494623655913978,6.442784102888467,7.830042804995824,1.1011971790292525e-7,7.319290583281098e-5,6.124201855303036e-5,8038/358/947/1003/10800/641700/2321/3087/3346/23166/7010/7042/7424,13
M2,GO:0010810,regulation of cell-substrate adhesion,10/102,224/18805,0.044642857142857144,8.23047969187675,8.039446479823031,3.852714354492638e-7,1.92057810571458e-4,1.6069874347028504e-4,151887/1012/1277/10085/3346/182/22998/255743/5581/7010,10
M2,GO:0035115,embryonic forelimb morphogenesis,5/102,33/18805,0.15151515151515152,27.93374925727867,11.435840252765193,8.946830763677162e-7,3.27576897641569e-4,2.740903672923439e-4,8854/3207/3209/3205/340419,5
M2,GO:0045766,positive regulation of angiogenesis,9/102,192/18805,0.046875,8.642003676470589,7.859940133424515,1.0106697699632931e-6,3.27576897641569e-4,2.740903672923439e-4,8038/358/947/1003/10800/2321/3346/7010/7424,9
M2,GO:1904018,positive regulation of vasculature development,9/102,195/18805,0.046153846153846156,8.509049773755658,7.783925531178063,1.1499690488921681e-6,3.27576897641569e-4,2.740903672923439e-4,8038/358/947/1003/10800/2321/3346/7010/7424,9
M2,GO:0035107,appendage morphogenesis,8/102,152/18805,0.05263157894736842,9.70330237358101,7.956115721172505,1.7477604867192113e-6,3.87226045613123e-4,3.2400004344443865e-4,8854/1281/3206/3207/3209/3205/340419/7042,8
M2,GO:0035108,limb morphogenesis,8/102,152/18805,0.05263157894736842,9.70330237358101,7.956115721172505,1.7477604867192113e-6,3.87226045613123e-4,3.2400004344443865e-4,8854/1281/3206/3207/3209/3205/340419/7042,8
M2,GO:0050673,epithelial cell proliferation,13/102,488/18805,0.02663934426229508,4.911302635808422,6.4650774078284945,2.3555894105119254e-6,3.966889467995226e-4,3.319178486392036e-4,8854/653/947/1012/54567/2321/151306/3082/182/4208/7010/7042/7424,13
M2,GO:0060485,mesenchyme development,11/102,342/18805,0.03216374269005848,5.9297958949661735,6.794545749967532,2.498610346113184e-6,3.966889467995226e-4,3.319178486392036e-4,59/70/8854/653/1277/3082/182/4208/4222/7042/55273,11
M2,GO:0072006,nephron development,8/102,161/18805,0.049689440993788817,9.160881744001948,7.679802399292887,2.6889200409228755e-6,3.966889467995226e-4,3.319178486392036e-4,59/358/947/3207/182/4208/255743/7010,8
M2,GO:0035136,forelimb morphogenesis,5/102,41/18805,0.12195121951219512,22.483261597321853,10.169486010556252,2.729513019361321e-6,3.966889467995226e-4,3.319178486392036e-4,8854/3207/3209/3205/340419,5
M2,GO:0032835,glomerulus development,6/102,73/18805,0.0821917808219178,15.15310233682514,8.947270607508965,2.785178162082907e-6,3.966889467995226e-4,3.319178486392036e-4,59/358/947/182/4208/7010,6
M2,GO:1901654,response to ketone,9/102,225/18805,0.04,7.374509803921569,7.103702544958068,3.7399742393405534e-6,4.971672422163376e-4,4.1599011714770374e-4,358/3206/3207/3209/3205/3490/5581/5737/7042,9
M2,GO:0030326,embryonic limb morphogenesis,7/102,124/18805,0.056451612903225805,10.4075743200506,7.761720692929061,5.025699894818885e-6,5.894850347216975e-4,4.932343240425965e-4,8854/3206/3207/3209/3205/340419/7042,7
M2,GO:0035113,embryonic appendage morphogenesis,7/102,124/18805,0.056451612903225805,10.4075743200506,7.761720692929061,5.025699894818885e-6,5.894850347216975e-4,4.932343240425965e-4,8854/3206/3207/3209/3205/340419/7042,7
M2,GO:0010811,positive regulation of cell-substrate adhesion,7/102,126/18805,0.05555555555555555,10.242374727668844,7.68708360537457,5.5874171576663205e-6,6.189616562437024e-4,5.178980230936327e-4,151887/1012/10085/3346/255743/5581/7010,7
M2,GO:0061383,trabecula morphogenesis,5/102,48/18805,0.10416666666666667,19.204452614379086,9.32580058113153,6.0519493973278085e-6,6.351361630669289e-4,5.314315675769849e-4,653/1277/54567/7010/7042,5
M2,GO:0043410,positive regulation of MAPK cascade,12/102,464/18805,0.02586206896551724,4.768002028397566,6.0691543557052015,8.001481643261397e-6,7.592589786577312e-4,6.352876952819005e-4,59/2321/151306/3082/7805/4208/255743/4916/5581/7010/7042/55504,12
M2,GO:0006935,chemotaxis,12/102,466/18805,0.02575107296137339,4.747538500378693,6.049518463684305,8.355544563436168e-6,7.592589786577312e-4,6.352876952819005e-4,9034/1012/10800/641700/2321/3082/100528032/4916/5337/6036/7042/7424,12
M2,GO:0042330,taxis,12/102,468/18805,0.02564102564102564,4.727249874308698,6.029993764210791,8.723297511140336e-6,7.592589786577312e-4,6.352876952819005e-4,9034/1012/10800/641700/2321/3082/100528032/4916/5337/6036/7042/7424,12
M2,GO:0048736,appendage development,8/102,190/18805,0.042105263157894736,7.762641898864809,6.918807401117519,9.138523313834277e-6,7.592589786577312e-4,6.352876952819005e-4,8854/1281/3206/3207/3209/3205/340419/7042,8
M2,GO:0060173,limb development,8/102,190/18805,0.042105263157894736,7.762641898864809,6.918807401117519,9.138523313834277e-6,7.592589786577312e-4,6.352876952819005e-4,8854/1281/3206/3207/3209/3205/340419/7042,8
M2,GO:0001822,kidney development,10/102,325/18805,0.03076923076923077,5.672699849170438,6.275208384681469,1.0811687011002309e-5,8.533453132017586e-4,7.140116778888179e-4,59/8854/358/947/3207/182/4208/255743/7010/7042,10
M2,GO:0060065,uterus development,4/102,26/18805,0.15384615384615385,28.36349924585219,10.31078301432547,1.1126869680664857e-5,8.533453132017586e-4,7.140116778888179e-4,3206/3207/3205/7042,4
M2,GO:0050678,regulation of epithelial cell proliferation,11/102,410/18805,0.026829268292682926,4.946317551410808,5.966280005433198,1.3926069375440336e-5,0.001027252694305551,8.595235815205081e-4,8854/653/1012/54567/2321/151306/182/4208/7010/7042/7424,11
