Cluster,ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
M0,GO:0010273,detoxification of copper ion,5/51,16/18805,0.3125,115.22671568627452,23.836314199968886,5.122383876950233e-10,4.794551308825418e-7,3.1435261055389326e-7,4493/4494/4495/4496/4502,5
M0,GO:1990169,stress response to copper ion,5/51,16/18805,0.3125,115.22671568627452,23.836314199968886,5.122383876950233e-10,4.794551308825418e-7,3.1435261055389326e-7,4493/4494/4495/4496/4502,5
M0,GO:0097501,stress response to metal ion,5/51,21/18805,0.23809523809523808,87.79178338001867,20.751881238370355,2.362115591245088e-9,1.2055361219346017e-6,7.904043624470005e-7,4493/4494/4495/4496/4502,5
M0,GO:0009636,response to toxic substance,10/51,272/18805,0.03676470588235294,13.556084198385237,10.877499248005417,2.5759318844756447e-9,1.2055361219346017e-6,7.904043624470005e-7,216/348/2353/2950/4493/4494/4495/4496/4502/4747,10
M0,GO:0061687,detoxification of inorganic compound,5/51,23/18805,0.21739130434782608,80.15771526001704,19.80840486457098,3.890073005899603e-9,1.4564433334088115e-6,9.549105526060922e-7,4493/4494/4495/4496/4502,5
M0,GO:0071294,cellular response to zinc ion,5/51,24/18805,0.20833333333333334,76.81781045751634,19.38120415404266,4.9037595635898635e-9,1.5299729838400374e-6,1.0031199387975053e-6,4493/4494/4495/4496/4502,5
M0,GO:0071280,cellular response to copper ion,5/51,25/18805,0.2,73.74509803921569,18.979693611991095,6.1172040654796164e-9,1.6359151443682632e-6,1.0725804421577795e-6,4493/4494/4495/4496/4502,5
M0,GO:0071276,cellular response to cadmium ion,5/51,26/18805,0.19230769230769232,70.90874811463047,18.601382429324133,7.55824248644431e-9,1.7686287418279684e-6,1.1595935183150087e-6,4493/4494/4495/4496/4502,5
M0,GO:0098754,detoxification,8/51,168/18805,0.047619047619047616,17.558356676003736,11.242091740917745,1.5766733096851705e-8,3.279480484145155e-6,2.1501767006934607e-6,216/348/2950/4493/4494/4495/4496/4502,8
M0,GO:0006882,intracellular zinc ion homeostasis,5/51,35/18805,0.14285714285714285,52.6750700280112,15.956815118477621,3.66220806318662e-8,6.855653494285352e-6,4.494878528079578e-6,4493/4494/4495/4496/4502,5
M0,GO:0046688,response to copper ion,5/51,37/18805,0.13513513513513514,49.827768945416004,15.503223175384079,4.89737567594888e-8,8.334442968523912e-6,5.464440227900856e-6,4493/4494/4495/4496/4502,5
M0,GO:0021537,telencephalon development,9/51,280/18805,0.03214285714285714,11.85189075630252,9.540443720915725,5.569057046964808e-8,8.6877289932651e-6,5.6960706287376905e-6,2018/2353/3280/3398/3400/3912/4747/57142/23224,9
M0,GO:0045926,negative regulation of growth,8/51,233/18805,0.034334763948497854,12.660102667676512,9.339298381440173,1.9821836398354713e-7,2.8543444413630788e-5,1.8714381571240158e-5,10370/1601/4493/4494/4495/4496/4502/57142,8
M0,GO:0046686,response to cadmium ion,5/51,50/18805,0.1,36.872549019607845,13.244999892866097,2.3181607957405928e-7,3.0997121497331355e-05,2.032312396867317e-5,4493/4494/4495/4496/4502,5
M0,GO:0010043,response to zinc ion,5/51,53/18805,0.09433962264150944,34.78542360340363,12.844191132211861,3.120601977250461e-7,3.8945112676085754e-5,2.5534188810344126e-5,4493/4494/4495/4496/4502,5
M0,GO:0071248,cellular response to metal ion,7/51,182/18805,0.038461538461538464,14.181749622926095,9.318525202548463,5.727479148296612e-7,6.701150603507037e-5,4.3935793992854285e-5,288/2353/4493/4494/4495/4496/4502,7
M0,GO:0021543,pallium development,7/51,194/18805,0.03608247422680412,13.304527996765714,8.983472085318684,8.801135733725572e-7,9.691603584431924e-5,6.354256511160383e-5,2018/2353/3400/3912/4747/57142/23224,7
M0,GO:0021987,cerebral cortex development,6/51,130/18805,0.046153846153846156,17.018099547511316,9.556868553903929,1.3564648647705195e-6,1.4107234593613402e-4,9.249345218259799e-5,2018/2353/3912/4747/57142/23224,6
M0,GO:0030900,forebrain development,9/51,413/18805,0.021791767554479417,8.03518017376442,7.538744498317732,1.4651291977297721e-6,1.4435378200790177e-4,9.464491105556313e-5,2018/2353/3280/3398/3400/3912/4747/57142/23224,9
M0,GO:0010038,response to metal ion,8/51,347/18805,0.023054755043227664,8.500875854664633,7.354406782845186,3.953889138076218e-6,3.622482559877516e-4,2.3750644763929283e-4,288/2244/2353/4493/4494/4495/4496/4502,8
M0,GO:2000651,positive regulation of sodium ion transmembrane transporter activity,3/51,12/18805,0.25,92.18137254901961,16.476385511424265,4.063682358836957e-6,3.622482559877516e-4,2.3750644763929283e-4,288/481/486,3
M0,GO:0032352,positive regulation of hormone metabolic process,3/51,15/18805,0.2,73.74509803921569,14.697694851555083,8.356291912148517e-6,7.110444754337284e-4,4.66193127730391e-4,1601/1958/7849,3
M0,GO:0001666,response to hypoxia,7/51,316/18805,0.022151898734177215,8.167969719533383,6.701102262730236,2.1739639985967226e-5,0.0017694176545100283,0.0011601107653838804,10449/10370/1803/1958/2353/57142/7009,7
M0,GO:1902307,positive regulation of sodium ion transmembrane transport,3/51,22/18805,0.13636363636363635,50.2807486631016,12.060613818424187,2.790641761497368e-5,0.0020701385468062214,0.0013572770724111867,288/481/486,3
M0,GO:0036293,response to decreased oxygen levels,7/51,330/18805,0.021212121212121213,7.821449792038028,6.519355846493093,2.8692498857878006e-5,0.0020701385468062214,0.0013572770724111867,10449/10370/1803/1958/2353/57142/7009,7
M0,GO:0021885,forebrain cell migration,4/51,65/18805,0.06153846153846154,22.69079939668175,9.135045112089799,2.875192426119752e-5,0.0020701385468062214,0.0013572770724111867,2018/3912/57142/23224,4
M0,GO:0043433,negative regulation of DNA-binding transcription factor activity,5/51,140/18805,0.03571428571428571,13.1687675070028,7.536329320021012,3.797398593537267e-5,0.0026328630248525046,0.0017262248577249331,307/3280/3397/3398/3399,5
M0,GO:0042063,gliogenesis,7/51,348/18805,0.020114942528735632,7.416892044173991,6.300819699050666,4.0233049528151666e-5,0.0026898667398821403,0.00176359908833928,1191/3280/3398/3400/3912/57142/23224,7
M0,GO:0042445,hormone metabolic process,6/51,240/18805,0.025,9.218137254901961,6.68182024283494,4.52219522691988e-5,0.002919154987860005,0.0019139309018470344,174/216/1601/1803/1958/7849,6
M0,GO:0070482,response to oxygen levels,7/51,358/18805,0.019553072625698324,7.209716288750137,6.1860532108474064,4.8140463366514974e-5,0.003003964914070534,0.0019695361503633845,10449/10370/1803/1958/2353/57142/7009,7
M0,GO:0021801,cerebral cortex radial glia-guided migration,3/51,28/18805,0.10714285714285714,39.5063025210084,10.633126595200112,5.868708040742384e-5,0.0034331942038342946,0.00225095841299527,3912/57142/23224,3
M0,GO:0022030,telencephalon glial cell migration,3/51,28/18805,0.10714285714285714,39.5063025210084,10.633126595200112,5.868708040742384e-5,0.0034331942038342946,0.00225095841299527,3912/57142/23224,3
M0,GO:0071456,cellular response to hypoxia,5/51,156/18805,0.03205128205128205,11.818124685771743,7.075379856519715,6.361576266025489e-5,0.003597191372042432,0.0023584824222905284,10449/10370/2353/57142/7009,5
M0,GO:1902430,negative regulation of amyloid-beta formation,3/51,29/18805,0.10344827586206896,38.14401622718053,10.43877590667769,6.533360397940315e-5,0.003597191372042432,0.0023584824222905284,348/1191/57142,3
M0,GO:0048844,artery morphogenesis,4/51,83/18805,0.04819277108433735,17.769903141979682,7.984665618008705,7.52841362424391e-5,0.004026625801309886,0.002640039183719819,348/10370/3280/57142,4
