M0,M1,M2,M3,M4,M5,M6
ACAA2,GNB2L1,AKAP12,EEF1A1,CRABP2,MT-ATP6,ALDOA
AFP,NACA,ALDH1A2,GAS5,EEF1B2,MT-ATP8,BNIP3
ALDH1A1,NAP1L1,CALD1,HNRNPA1,EIF3E,MT-CO1,ENO1
ANK3,PABPC1,CDH11,NPM1,FAM60A,MT-CO2,FAM162A
ANXA4,RPL10A,CHODL,RPL10,HOTAIRM1,MT-CO3,GAPDH
APOE,RPL11,COL14A1,RPL12,HOXB-AS3,MT-CYB,KRT19
ASRGL1,RPL13,COL1A1,RPL13A,HSP90AB1,MT-ND1,LDHA
ATP1B1,RPL14,COL1A2,RPL21,LAPTM4B,MT-ND3,P4HA1
ATPIF1,RPL15,COL3A1,RPL3,MEST,MT-ND4,PGK1
C11orf54,RPL18,COL6A3,RPL6,MLLT3,MT-ND5,TPI1
C14orf105,RPL19,CPE,RPL7,MTHFD2,,
C19orf77,RPL23,CRABP1,RPL7A,PRTG,,
CITED2,RPL23A,DCN,RPL9,PSMB5,,
CLU,RPL24,FLRT2,RPS27,SAT1,,
CYB5A,RPL27,IGFBP3,RPS28,SEPT6,,
DAB2,RPL27A,IGFBP5,RPS7,TMSB10,,
DBI,RPL30,LGALS1,RPSA,,,
DCDC2,RPL31,LRRC17,,,,
DPP4,RPL32,MARCKS,,,,
EGR1,RPL34,NREP,,,,
EMX2,RPL35A,NRK,,,,
EPCAM,RPL37,PGRMC1,,,,
EZR,RPL37A,POSTN,,,,
FGB,RPL4,PRRX1,,,,
FLRT3,RPL5,PTN,,,,
FOS,RPL8,RRBP1,,,,
FTL,RPLP0,SEPT7,,,,
FXYD2,RPLP1,SULT1E1,,,,
GNG11,RPLP2,TMSB4X,,,,
GSTP1,RPS11,TPM4,,,,
HES1,RPS12,VCAN,,,,
ID1,RPS13,VIM,,,,
ID2,RPS14,,,,,
ID3,RPS16,,,,,
ID4,RPS18,,,,,
IGFBP7,RPS19,,,,,
ITM2B,RPS2,,,,,
JUN,RPS20,,,,,
LAMB1,RPS23,,,,,
LDHB,RPS24,,,,,
MPC2,RPS25,,,,,
MT1E,RPS27A,,,,,
MT1F,RPS29,,,,,
MT1G,RPS3,,,,,
MT1H,RPS4X,,,,,
MT2A,RPS5,,,,,
MYO6,RPS6,,,,,
NEFL,RPS8,,,,,
PAX8,TXNIP,,,,,
PTGR1,,,,,,
RTN4,,,,,,
SPATS2L,,,,,,
SPINT2,,,,,,
SYNE2,,,,,,
TFPI2,,,,,,
TMBIM6,,,,,,
