Cluster,ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
M0,GO:0002181,cytoplasmic translation,67/156,169/18805,0.39644970414201186,47.78997875891367,55.88297205946818,1.6129372679998218e-99,4.624291147355489e-96,3.5943033645848666e-96,1968/79727/6134/4736/6135/6136/6137/23521/9045/6138/6141/6142/6143/6144/6147/6154/6157/6158/6159/6122/6156/6160/6161/6164/11224/6165/25873/6167/6168/6170/6124/6171/6125/6128/6129/6130/6132/6133/6175/6176/6181/6206/6207/6208/6209/6210/6217/6222/6223/6187/6224/6228/6229/6230/6232/6233/6234/6235/6188/6189/6191/6193/6194/6201/6202/6203/3921,67
M0,GO:0042274,ribosomal small subunit biogenesis,22/156,108/18805,0.2037037037037037,24.55543684710351,22.45312129758134,9.464246690500754e-25,1.356699763083283e-21,1.0545163286205315e-21,4869/6206/6207/6208/6209/6210/6217/6223/6228/6229/6230/6232/6233/6234/6189/6191/6193/6194/6201/6202/6203/3921,22
M0,GO:0042254,ribosome biogenesis,31/156,317/18805,0.09779179810725552,11.788299765429104,17.717290910183838,1.8080054012108077e-24,1.7278504950904617e-21,1.3429990997765896e-21,4869/6135/9045/6154/11224/6165/6125/6129/6130/6175/6206/6207/6208/6209/6210/6217/6223/6228/6229/6230/6232/6233/6234/6189/6191/6193/6194/6201/6202/6203/3921,31
M0,GO:0022613,ribonucleoprotein complex biogenesis,34/156,494/18805,0.06882591093117409,8.296610609363645,15.031013312204793,7.931386041854941e-22,5.684820945499528e-19,4.41861690805445e-19,1968/4869/6135/23521/9045/6154/11224/6165/6125/6129/6130/6175/6206/6207/6208/6209/6210/6217/6223/6228/6229/6230/6232/6233/6234/6189/6191/6193/6194/6201/6202/6203/3921/6431,34
M0,GO:0006364,rRNA processing,19/156,222/18805,0.08558558558558559,10.316903441903442,12.77173251555699,3.180613613985558e-14,1.8237638462593187e-11,1.4175492675384057e-11,6135/9045/6154/11224/6165/6125/6129/6130/6208/6209/6217/6223/6229/6230/6232/6234/6194/6201/6202,19
M0,GO:0016072,rRNA metabolic process,20/156,265/18805,0.07547169811320754,9.097726173197872,12.142016114473048,7.065436114845654e-14,3.3761008902104146e-11,2.624127764057588e-11,6135/9045/6154/11224/6165/6125/6129/6130/6208/6209/6217/6223/6229/6230/6232/6234/6194/6201/6202/7157,20
M0,GO:0042255,ribosome assembly,10/156,60/18805,0.16666666666666666,20.090811965811966,13.546183328272832,6.097373106458633e-11,2.4973098137452714e-8,1.9410735137402895e-8,4869/6135/6125/6208/6209/6223/6232/6234/6193/3921,10
M0,GO:0000028,ribosomal small subunit assembly,7/156,21/18805,0.3333333333333333,40.18162393162393,16.430761263259004,2.490913211165071e-10,8.926810220512823e-8,6.938504300047968e-8,6208/6209/6223/6232/6234/6193/3921,7
M0,GO:0042273,ribosomal large subunit biogenesis,9/156,65/18805,0.13846153846153847,16.690828402366865,11.589839024055747,3.1726751710270924e-9,1.0106733017038526e-6,7.855617938086966e-7,4869/6135/9045/6154/11224/6165/6125/6129/6130,9
M0,GO:0030901,midbrain development,10/156,93/18805,0.10752688172043011,12.961814171491591,10.576404861948529,5.172560816911478e-9,1.4829731862085206e-6,1.1526643420422735e-6,60/805/998/1499/22943/3939/5354/6423/6469/7531,10
M0,GO:1901798,positive regulation of signal transduction by p53 class mediator,6/156,27/18805,0.2222222222222222,26.787749287749286,12.263947987316234,7.585319469090576e-8,1.97701008344388e-5,1.536662326896148e-5,6135/6154/6167/6209/6224/6201,6
M0,GO:0060485,mesenchyme development,15/156,342/18805,0.043859649122807015,5.287055780476833,7.317802741137251,1.722736005207174e-7,4.115903439107473e-5,3.19915098510841e-5,58/59/70/998/1277/286204/1499/22943/2487/4192/4194/6201/6423/6469/6934,15
M0,GO:0022618,protein-RNA complex assembly,12/156,228/18805,0.05263157894736842,6.344466936572199,7.425807274264664,4.572857898490646e-7,1.0084910457671295e-4,7.838656008991659e-5,1968/6135/23521/6125/6208/6209/6223/6232/6234/6193/3921/6431,12
M0,GO:0140694,membraneless organelle assembly,16/156,427/18805,0.03747072599531616,4.516903861166156,6.723338177289595,5.486571002833963e-7,1.1235713617946409e-4,8.733135949623685e-5,58/70/71/10398/4869/6135/6125/6208/6209/6223/6228/6232/6234/6188/6193/3921,16
M0,GO:0071826,protein-RNA complex organization,12/156,237/18805,0.05063291139240506,6.103537812398572,7.23140344952481,6.904512358237575e-7,1.3196824620711418e-4,1.0257440464834349e-4,1968/6135/23521/6125/6208/6209/6223/6232/6234/6193/3921/6431,12
M0,GO:0072331,signal transduction by p53 class mediator,10/156,165/18805,0.06060606060606061,7.305749805749806,7.440727490980812,1.2006354207670912e-6,2.1513885945870315e-4,1.6722007801078502e-4,54541/4194/6135/6154/6167/6125/6209/6224/6201/7157,10
M0,GO:0021762,substantia nigra development,6/156,46/18805,0.13043478260869565,15.723244147157189,9.144021402614012,2.1076657021206358e-6,3.5545162164587427e-4,2.762803895597143e-4,60/805/998/3939/5354/7531,6
M0,GO:0050767,regulation of neurogenesis,14/156,372/18805,0.03763440860215054,4.536634960022057,6.3012010980879065,2.7630833931192157e-6,4.285728664022178e-4,3.3311503246507266e-4,1382/1499/7852/63950/1946/3400/79727/4192/5530/283659/5802/6469/6498/7157,14
M0,GO:1901796,regulation of signal transduction by p53 class mediator,8/156,106/18805,0.07547169811320754,9.097726173197872,7.646566585657264,2.8402108341967696e-6,4.285728664022178e-4,3.3311503246507266e-4,6135/6154/6167/6125/6209/6224/6201/7157,8
M0,GO:0090090,negative regulation of canonical Wnt signaling pathway,9/156,149/18805,0.06040268456375839,7.281233866804337,7.040256419392229,4.282319362237546e-6,6.138704805767522e-4,4.771405310450993e-4,348/1499/22943/2487/2719/4192/6423/6469/6934,9
M0,GO:2000179,positive regulation of neural precursor cell proliferation,6/156,53/18805,0.11320754716981132,13.646589259796807,8.43232228906109,4.9244986274505066e-6,6.723113126143144e-4,5.225645911936202e-4,1499/63950/3400/4192/10763/6469,6
M0,GO:0051960,regulation of nervous system development,15/156,454/18805,0.03303964757709251,3.982760081328363,5.8840455629441974,5.885328181495684e-6,7.669652680158239e-4,5.961358736950415e-4,1382/1499/7852/22943/63950/1946/3400/79727/4192/5530/283659/5802/6469/6498/7157,15
M0,GO:0030900,forebrain development,14/156,413/18805,0.03389830508474576,4.086266840504129,5.800342856969639,9.147414953454854e-6,0.0011402451596328291,8.862735678015528e-4,558/1499/7852/22943/63950/1943/27086/3400/4192/5101/5453/5802/6469/7531,14
M0,GO:2000177,regulation of neural precursor cell proliferation,7/156,92/18805,0.07608695652173914,9.171892419175029,7.186285903780893,1.1468368081334498e-5,0.001369992137049417,0.0010648480363239091,1499/63950/3400/4192/10763/6469/7157,7
M0,GO:0031400,negative regulation of protein modification process,12/156,321/18805,0.037383177570093455,4.506350347471842,5.795214162751143,1.562479930039272e-5,0.0017918519837690373,0.0013927452681655322,348/805/11261/1499/22943/4869/6135/6125/6188/6201/6423/6546,12
M0,GO:0060828,regulation of canonical Wnt signaling pathway,11/156,277/18805,0.039711191335740074,4.7869804683884105,5.807354327311732,2.048755045128338e-5,0.0021862487353438006,0.0016992963753502933,348/1277/1499/22943/2487/2719/4192/6206/6423/6469/6934,11
M0,GO:0030178,negative regulation of Wnt signaling pathway,9/156,181/18805,0.049723756906077346,5.9939439014024645,6.174561368152854,2.0589018435396797e-5,0.0021862487353438006,0.0016992963753502933,348/1499/22943/2487/2719/4192/6423/6469/6934,9
M0,GO:0071542,dopaminergic neuron differentiation,5/156,41/18805,0.12195121951219512,14.700594121325826,8.032084389643874,2.1695413210211407e-5,0.0022214553454884324,0.0017266612693991562,1499/22943/63950/6423/6469,5
M0,GO:0048857,neural nucleus development,6/156,69/18805,0.08695652173913043,10.48216276477146,7.2169410576423125,2.3054533406772514e-5,0.0022792188716281654,0.0017715588828362038,60/805/998/3939/5354/7531,6
M0,GO:0051961,negative regulation of nervous system development,8/156,147/18805,0.05442176870748299,6.560265131693702,6.189866316913961,3.150989399031827e-5,0.003011295535674749,0.0023405770378071506,1499/22943/3400/79727/5530/283659/5802/7157,8
M0,GO:0048713,regulation of oligodendrocyte differentiation,5/156,45/18805,0.1111111111111111,13.393874643874643,7.613013239337149,3.443827930458351e-5,0.003085454586445029,0.0023982183318356346,1499/7852/3400/4192/6469,5
M0,GO:1902692,regulation of neuroblast proliferation,5/156,45/18805,0.1111111111111111,13.393874643874643,7.613013239337149,3.443827930458351e-5,0.003085454586445029,0.0023982183318356346,1499/63950/3400/6469/7157,5
M0,GO:0001558,regulation of cell growth,13/156,410/18805,0.03170731707317073,3.8221544715447155,5.284239091641681,3.868989224205767e-5,0.003361330941150889,0.0026126475877651066,348/684/998/1382/2017/7852/1946/2023/27086/2487/5802/6423/7157,13
M0,GO:0014013,regulation of gliogenesis,7/156,112/18805,0.0625,7.534054487179487,6.343251137587439,4.13019293664229e-5,0.00348272445569219,0.002707002615130566,1499/7852/3400/79727/4192/6469/7157,7
M0,GO:0043086,negative regulation of catalytic activity,11/156,306/18805,0.03594771241830065,4.333312384782973,5.376779776812563,5.08596146169207e-5,0.004166129003048904,0.003238189598316425,348/11261/286204/2597/10763/4869/6135/6125/6201/6546/7157,11
M0,GO:0045685,regulation of glial cell differentiation,6/156,80/18805,0.075,9.040865384615385,6.5916860988676325,5.3618170463779845e-5,0.004270091519990467,0.003318996107363215,1499/7852/3400/79727/4192/6469,6
M0,GO:0048863,stem cell differentiation,10/156,256/18805,0.0390625,4.70878405448718,5.464506225732633,5.641621169895251e-5,0.004371494025429645,0.0033978128070179933,998/1499/63950/2487/79727/6201/6423/6469/7114/7157,10
M0,GO:0016049,cell growth,14/156,492/18805,0.028455284552845527,3.43013862830936,4.995667194330031,6.269542033629575e-5,0.004614202003205542,0.003586461417871655,348/684/998/1382/1499/2017/7852/1946/2023/27086/2487/5802/6423/7157,14
M0,GO:1904338,regulation of dopaminergic neuron differentiation,3/156,10/18805,0.3,36.16346153846154,10.172556296227887,6.438987408929302e-5,0.004614202003205542,0.003586461417871655,22943/6423/6469,3
M0,GO:1904667,negative regulation of ubiquitin protein ligase activity,3/156,10/18805,0.3,36.16346153846154,10.172556296227887,6.438987408929302e-5,0.004614202003205542,0.003586461417871655,6135/6125/6201,3
M0,GO:0061053,somite development,6/156,83/18805,0.07228915662650602,8.714087117701576,6.441798128472523,6.598614654043503e-5,0.004614202003205542,0.003586461417871655,286204/22943/2487/6423/6469/7157,6
M0,GO:0034341,response to type II interferon,7/156,121/18805,0.05785123966942149,6.973670269124814,6.029185539063072,6.764670860697228e-5,0.004617693180385464,0.0035891749905002583,71/684/998/2597/10410/23521/7157,7
M0,GO:0030326,embryonic limb morphogenesis,7/156,124/18805,0.056451612903225805,6.804952440033085,5.931562272945642,7.899513071174207e-5,0.0051472509034219205,0.004000782098487032,1382/1499/22943/2719/5087/6423/6469,7
M0,GO:0035113,embryonic appendage morphogenesis,7/156,124/18805,0.056451612903225805,6.804952440033085,5.931562272945642,7.899513071174207e-5,0.0051472509034219205,0.004000782098487032,1382/1499/22943/2719/5087/6423/6469,7
