M0,M1,M2,M3,M4,M5,M6,M7,M8,M9
AC004540.4,ABCA8,ACHE,AC008060.5,AGR2,ANP32E,ALPPL2,AC011526.1,CTD-3157E16.1,EGFL6
ACTA1,AC002454.1,ADCYAP1,AC009508.1,ALCAM,AURKB,BIN2,DPEP2,FENDRR,MT-ATP6
ACTA2,AGR3,AKR1C1,AC010907.5,ALDH1A1,BIRC5,CCR7,HCLS1,GNGT2,MT-CO1
ACTB,AK1,AMER3,AC010975.1,AMBN,CCNB1,CD53,HOXA10,GOLGA6L9,MT-CO2
ACTC1,AKAP14,ANK3,AC092625.1,ASCL1,CCNB2,CXCR5,HOXA3,LINC01082,MT-CO3
ACTG1,ANKRD66,ANXA2,AC093690.1,B2M,CDC20,FAM9C,HOXA5,MBD3L5,MT-ND1
ALDOA,ANXA1,ATP1A3,AC103801.2,BEX1,CDK1,GZMB,HOXB-AS3,MEFV,MT-ND2
APOE,APOH,B3GALT2,AC105053.3,C6orf141,CENPF,IL2RB,HOXB2,RP11-1124B17.1,MT-ND3
ATP1B1,ART3,BASP1,AC113167.1,CACNA2D1,FAM111B,ITGB2,HOXB4,RP11-114H24.6,MT-ND4
ATP5E,ASPN,BCL11A,AC135050.5,CALCA,FANCD2,KCNN4,HOXB5,RP11-142G1.3,MT-ND4L
AXL,BAALC,BDNF,AD001527.7,CALCB,H2AFZ,KRT16,HOXB6,RP11-184D12.1,MT-ND5
BST2,BHLHE41,BEX5,AE000661.50,CARTPT,HELLS,LRRC19,HOXB8,RP11-519G16.2,PTN
C4orf48,C11orf88,BLCAP,AF230666.2,CD9,HIST1H1B,MBD3L2,HOXB9,RP11-568J23.4,RP11-82C23.2
CALM2,C1orf192,C12orf68,AL136115.1,CGA,HIST1H2BH,MBD3L3,IL10,RP11-650L12.1,SELM
CAPN6,C1orf194,C1QL1,AL358333.1,CHGA,HIST1H4C,OCLM,MAGEA4,RP11-676J12.7,
CAPZA1,C20orf85,CALY,ALG9-1,CHGB,HMGB2,PARP15,MRC1L1,RP11-815J21.2,
CBX6,C3orf58,CAMK2N1,C3orf20,CLDN4,KIAA0101,PSG4,MYL1,RP11-863P13.3,
CDC42,C5orf49,CCK,C6orf123,CLDN7,KPNA2,RP11-109P14.9,TMEM204,SNX20,
CHL1,C8orf56,CDKN2D,CALR3,CLDN9,MKI67,RP11-265D19.6,ZAP70,,
CHP1,C9orf116,CELF4,CCDC177-1,CPE,MMS22L,RP11-277P12.10,,,
CNIH2,C9orf135,CELF5,CLDN22,CRYBA2,NEK2,RP11-283G6.3,,,
COL1A1,C9orf171,CEP170,CMKLR1,DIRAS3,NUCKS1,RP11-450K4.1,,,
CRABP1,C9orf24,CNR1,CPLX4,DLK1,NUSAP1,RP11-466P24.6,,,
CRABP2,CA2,CORO1A,CSRP3,DNAJC12,PLK1,RP11-799P8.1,,,
CRB2,CALB1,CRMP1,CT55,DPYS,PTTG1,RP11-888D10.3,,,
CTGF,CAPS,DCX,CTA-363E6.6,DUSP2,RRM2,SLC34A2,,,
CTNNB1,CAPSL,DDC,CTB-167B5.1,EPCAM,SMC4,SPINK1,,,
CTTN,CBLN1,DKK3,CTC-435M10.6,F3,SPC24,TFF2,,,
CXCR4,CCDC146,DPYSL3,CTD-2194D22.2,FAM46A,TOP2A,TPRX1,,,
CYR61,CCL18,DUSP4,DEFB124,FEV,TPX2,TRIM43,,,
DDIT4,CCNA1,EBF1,DMRTC1B,FGF12,TRIM59,TRIM49D1,,,
DKK1,CCNO,EBF3,DYNAP,FXYD3,TUBA1B,TRIM64B,,,
DMRTA2,CD36,ELAVL2,FAM183CP,GABRG2,TYMS,ZBED2,,,
DNER,CD47,ELAVL3,FSCB,GABRR1,UBE2C,,,,
DST,CDC20B,ELAVL4,GIMAP7,GDF10,,,,,
EEF1A1,CDH6,FAM171B,GJB6,GNB3,,,,,
EFNA2,CETN2,FAM57B,GLRA4,GNRH2,,,,,
EFNA5,CFI,FGF13,HOXA9,GP2,,,,,
EIF2S3,CLU,FXYD7,ICOS,GPX3,,,,,
ENO1,CNTNAP2,GALNTL6,INMT-FAM188B,HAPLN1,,,,,
ETNK1,COL1A2,GAP43,ITGAL,HEPACAM2,,,,,
FABP7,COL9A2,GDAP1L1,KLRC3,HES6,,,,,
FAM211A,CORIN,GLRA2,LCE1D,HLA-B,,,,,
FOXP1,CP,GNAO1,LINC00703,HLA-C,,,,,
FRZB,CRIP1,GNG3,MIRLET7DHG,HOPX,,,,,
FST,CRYAB,GPC2,MLK7-AS1,ID1,,,,,
GAPDH,CTSH,GPM6A,MMP13,ID2,,,,,
GNAS,CXCL14,GPR83,NAV2-AS1,ID3,,,,,
GNB2L1,DCN,GRIA2,NHS-AS1,IGSF21,,,,,
GPC3,DHRS3,GRIA4,NOX1,ISG15,,,,,
H3F3A,DNALI1,GRIN2B,OR9Q1,KCNJ6,,,,,
H3F3B,DYNLL1,GSTP1,PHKA2-AS1,KLK11,,,,,
HES4,DYNLRB2,HMGCS1,PLS1-AS1,KLK12,,,,,
HMGA1,ECEL1,HN1,PROKR1,KRT19,,,,,
HNRNPA1,EFCAB1,HSP90AA1,PSG2,KRT7,,,,,
HNRNPH1,ELN,IGFBP2,RAB43,LEFTY1,,,,,
ID4,EMX2,IGFBP5,RFPL4B,MIR7-3HG,,,,,
IFITM3,FABP6,INA,RGPD1,MT-CYB,,,,,
INSR,FAM166B,KIDINS220,RGPD3,NEB,,,,,
IRF2BPL,FAM183A,KIF21B,RP11-1012A1.4,NENF,,,,,
LDHA,FAM216B,KIF5A,RP11-10A14.6,NEUROD1,,,,,
LIN28A,FAM81B,L1CAM,RP11-10N23.4,NEUROD4,,,,,
LINC01021,FBLN5,LBH,RP11-118K6.2,NR0B1,,,,,
MALAT1,FEZF1,LHX2,RP11-148K1.10,NR3C1,,,,,
MARCH6,FOLR1,LHX9,RP11-15B24.4,NRXN1,,,,,
MDK,FTH1,LMO3,RP11-179B15.5,PAM,,,,,
MDM4,FXYD1,LPPR1,RP11-196H14.3,PCSK1,,,,,
MSI1,GNG11,LRRC26,RP11-1H15.2,PCSK2,,,,,
MYL9,GOLIM4,LRRC4C,RP11-210K20.2,PEG10,,,,,
NES,GPM6B,LRRN3,RP11-21M24.3,PHGR1,,,,,
NGFRAP1,GRAMD3,LSAMP,RP11-229P13.22,PMP22,,,,,
NOVA1,GSTA3,LY6H,RP11-22P4.2,PON1,,,,,
NPM1,HMGN2,MAB21L1,RP11-234K24.3,POSTN,,,,,
NR6A1,HSD17B2,MAP1B,RP11-254I22.1,PTPRN,,,,,
PBX1,HTR2C,MAPT,RP11-255A11.2,QPCT,,,,,
PCDH9,HTRA1,MARCKS,RP11-268G12.3,RAB3B,,,,,
PCSK1N,IFI6,MARCKSL1,RP11-307P5.2,RP11-356I2.1,,,,,
PLP1,IGFBP6,MLLT11,RP11-323N12.5,RP11-395G23.3,,,,,
